Scientific Name,Family,English Common Name,Name (FI),Section,ID,Check,Count,Mazemap route,Cordinates,Aromatic,Crop,Edible,Endangered,Exotic,Flowering,Fragrant,Fruit-bearing,Historical,House plant,Medicinal,Native,Pollinator,Resilient,Dangerous,Seasonal,Striking,Unique,Keep it y/n,Aromaattinen,Viljelykasvi,Syötävä,Uhanalainen,Eksoottinen,Kuukiva,Tuoksuva,Hedelmöivä,Historiallinen,Huonekasvi,Lääkekasvi,Alkuperäinen,Pölyttäjä,Ääriolosuhteet,Vaarallinen,Kausikasvi,Näyttävä,Uniikki,
Sequoia sempervirens,Cupressaceae,Coast redwood,Punapuu,G-HE 	LAUHKEA,3822,G-HE 	LAUHKEA,2,"Among the tallest trees in the world, native to California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxus baccata,,Yew,Marjakuusi,X-TA 	TAIMISTO,38612,X-TA 	TAIMISTO,1,See under tags,,,,,,,,,,,,,,,,Red berry-like arils appear edible; seeds inside are highly toxic to humans and animals.,,,,,,,,,,,,,,,,,,,Punertavat hedelmänmuotoiset arilit näyttävät syötäviltä; siemenet sisällä ovat erittäin myrkyllisiä ihmisille ja eläimille.,,,,
Taxus spp.,,Yew,Marjakuusi,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Highly toxic plant – serious risk to both humans and animals.,,,,,,,,,,,,,,,,,,,Hyvin myrkyllinen kasvi – vakava vaara sekä ihmisille että eläimille.,,,,
Tecoma stans,,Yellow bells,Keltakello,G-HO 	KASVIHUONE OSASTO,56187,G-HO 	KASVIHUONE OSASTO,1,See under tags,,,,,,,,,,,,,,,,Bright ornamental shrub; ingestion may cause toxicity.,,,,,,,,,,,,,,,,,,,Kirkas koristekasvi; nautinto voi aiheuttaa myrkyllisyyttä.,,,,
Hordeum vulgare,,Barley,ohra,Hyötykasvit,,,1,,,,"Hordeum vulgare, commonly known as barley, is one of the world's oldest cereal crops. It is widely cultivated in temperate regions for its grains, which are used in food production, animal feed, and the malting industry.","Hordeum vulgare produces edible grains that are cooked whole or processed into flour, flakes, and pearl barley. It is used in breads, porridges, soups, and many traditional dishes, providing an important source of dietary fibre.",,,,,,"Hordeum vulgare was first domesticated around 10,000 years ago in the Fertile Crescent, a region of the Middle East including parts of modern-day Iraq, Syria, Turkey, Iran, Israel, Palestine, Jordan, and Lebanon. It quickly became a staple crop for ancient civilizations such as the Sumerians, Egyptians, Greeks, and Romans. Barley was used not only for bread and porridge but also to brew some of the world's earliest beers, and in ancient Egypt it was so valuable that it was sometimes used to pay workers' wages.",,,,,,,"Hordeum vulgare is a seasonal cereal crop grown in cool to temperate climates. Depending on the variety, it is sown in spring or autumn and harvested once the grain heads mature during late summer.",,,y,,"Hordeum vulgare, jota kutsutaan yleisesti orjaksi, on yksi maailman vanhimmista viljelykasveista.","Hordeum vulgare tuottaa syötäviä siemeniä, jotka voidaan valmistaa kypsiksi tai jalostaa jauheeksi, kuoriksi ja orjaksi.",,,,,,"Hordeum vulgare alettiin viljellä noin 10 000 vuotta sitten Vihreässä ylängössä, jonka alueella nykyään sijaitsee osa Irakista, Syyriasta, Turkista, Iranista, Israelista, Palestiinasta, Jordanista ja Libanonista.",,,,,,,"Hordeum vulgare on kausikasvuinen kaurapuolukas, jota kasvatetaan viileissä ja lämpimissä ilmastoissa. Sen siemenet voivat olla keväällä tai syksyllä, ja viljat kypsyvät myöhäisessä kesässä.",,,
Thevetia peruviana,,Yellow oleander,Keltainen oleanteri,G-HA 	TROOPPINEN HUONE,29011,G-HA 	TROOPPINEN HUONE,1,See under tags,,,,,,,,,,,,,,,,Ornamental shrub with bright fruits and flowers; highly toxic to humans and pets.,,,,,,,,,,,,,,,,,,,"Koristekasvi, jolla on kirkkaat hedelmät ja kukat; erittäin myrkyllinen ihmisiä ja eläimiä kohtaan.",,,,
Tamarindus indica,Fabaceae,Tamarind tree,Tamarindipuu,G-HA 	TROOPPINEN HUONE,25045,G-HA 	TROOPPINEN HUONE,1,Native to Africa. Produces long pods with sweet-sour pulp widely used in cooking and drinks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urginea maritima,,Sea squill,Merililja,G-HK 	KURSSIKASVATUS- JA KOEHUONE,2220,G-HK 	KURSSIKASVATUS- JA KOEHUONE,1,See under tags,,,,,,,,,,,,,,,,Bulb resembles edible onion; highly poisonous to humans and animals.,,,,,,,,,,,,,,,,,,,Sieni muistuttaa syötävää sipulia; erittäin myrkyllinen ihmisiä ja eläimiä kohtaan.,,,,
Urtica dioica,,Stinging nettle,Nokkonen,H-13 	KUITUKASVIT,2229,H-13 	KUITUKASVIT,2,See under tags,,,,,,,,,,,,,,,,Causes immediate skin irritation; non-toxic but defensive.,,,,,,,,,,,,,,,,,,,"Aiheuttaa välittömän ihoherkkyyden; ei myrkyllinen, mutta puolustautuu.",,,,
Hosta undulata,,No common name,kirjokuunlilja,P-O 	PUUTARHAKASVIT OSASTO,33653,P-O 	PUUTARHAKASVIT OSASTO,1,,,,,,,,"Hosta undulata produces tall flower stalks in summer with pale purple to white, bell-shaped flowers. While the blooms are relatively modest, they rise above the foliage and add seasonal interest to the plant.",,,,Hosta undulata is a shade-loving ornamental plant commonly grown in gardens and as a foliage plant. It is valued for its decorative leaves rather than flowers and is widely used in shaded landscape design.,,,,,,,"Hosta undulata is notable for its wavy, variegated leaves with green and creamy-white patterns. The foliage creates a strong visual texture in shaded areas and remains attractive throughout the growing season.",,y,,,,,,"Hosta undulata tuottaa kesäisin pitkiä kukkivartta, jotka ovat vaaleanpunertavia tai valkoisia, kellomuotoisia kukkia. Vaikka kukat ovat suhteellisen vaatimattomat, ne nousevat kasvin lehtien yläpuolelle ja lisäävät kausirikkautta kasviin.",,,,"Hosta undulata on varjoa rakastava koristekasvi, jota kasvatetaan yleisesti puutarhoissa ja lehtikasvina. Se arvostetaan koristelehtiensä vuoksi eikä kukista, ja sitä käytetään laajasti varjossa suunniteltavassa maisemamuotoilussa.",,,,,,,"Hosta undulata tunnetaan epätasaisista, varjostetuista lehtiensä vuoksi, jotka ovat vihreitä ja kermanvalkoisia. Lehtien tekstuuruus luodaan voimakkaaksi varjoalueissa ja pysyy kaunis koko kasvukauden.",,
Howea forsteriana,,Kentia palm,Pikkukentiapalmu,G-HB 	KESÃ„SATEIDEN ALUE,5248,G-HB 	KESÃ„SATEIDEN ALUE,1,,,,,,,,,,,,"Howea forsteriana, commonly known as the kentia palm, is a elegant palm native to Lord Howe Island. It is prized as an indoor plant for its arching fronds, slow growth, and exceptional tolerance of low light and indoor conditions.",,,,,,,,,y,,,,,,,,,,"Howea forsteriana, jota kutsutaan myös kentianpalmuksi, on kaunis palmu Lord Howen saarella. Se arvostetaan sisäkasvina arkoisista lehtiensä, hitaan kasvunsa ja erinomaisesta kestävyydestään alhaisessa valossa ja sisäolosuhteissa.",,,,,,,,,
Hoya carnosa,,Wax plant,posliinikukka,G-HA 	TROOPPINEN HUONE,29228,G-HA 	TROOPPINEN HUONE,1,,X: -129.59 Y: 13.12,,,,,,"Hoya carnosa produces clusters of star-shaped flowers arranged in rounded umbels. The blooms have a thick, waxy texture with a smooth, porcelain-like appearance and a symmetrical, structured form.",Hoya carnosa produces flowers with a noticeable sweet fragrance that becomes stronger as the blooms mature. The scent is most pronounced during warm conditions and tends to intensify in the evening and nighttime hours when the flowers are fully open.,,,"Hoya carnosa, the classic wax plant, is a resilient houseplant with thick, succulent leaves. It thrives on neglect, needing light. Its vining stems climb trellises or cascade beautifully from shelves.",,,,,,,,,y,,,,,,"Hoya carnosa tuottaa kuppimaisia, tähti muotoisia kukkia, jotka ovat ympyränmuotoisia. Kukat ovat paksua, kuitumaisia ja sileitä, ja niillä on symmetrinen, rakenteellinen muoto.","Hoya carnosa tuottaa havaittavan makean tuoksun, joka vahvistuu kukkien kypsyessä. Tuoksu on voimakkainta lämpimissä olosuhteissa ja intensiiviytyy illalla ja yöaikaan, kun kukat ovat täysin auki.",,,"Hoya carnosa, klassinen kuitukasvi, on kestävä sisäkasvi, jolla on paksut, kuitumaiset lehdet. Se kestää huonon hoitoa, vaatii vähän valoa. Sen kierteiset varret kiipeävät puolustimille tai laskeutuvat kauniisti pöydän reunasta.",,,,,,,,,
Humulus lupulus,,common hop,humala,H-4 	MAUSTEKASVIT,1119,H-4 	MAUSTEKASVIT,1,,,,"Humulus lupulus, commonly known as common hop, is a fast-growing climbing plant cultivated for its cone-like flowers, which are used to flavour and preserve beer, giving it its characteristic bitterness and aroma. Hops are also used in herbal products and flavourings.",,,,,,,"Humulus lupulus has been cultivated in Europe for centuries and became an essential ingredient in brewing during the Middle Ages. Its use transformed beer production by improving flavour and helping preserve the drink, making it an important crop in brewing history.",,"Humulus lupulus has long been used in traditional herbal medicine. The flower cones contain natural compounds that have been used in teas and herbal remedies, particularly for their mild calming and sleep-promoting properties.",,,,,,,,y,,"Humulus lupulus, yleisesti tunnettu yleinen humala, on nopeasti kasvava kiipeävä kasvi, jota kasvatetaan sen kupera muotoisia kukkia, jotka käytetään oluen maustamiseen ja säilöntiin antaen sen karakteristisen katkeruuden ja tuoksun. Humalaa käytetään myös luontaistuotteissa ja mausteissa.",,,,,,,"Humulus lupulus on ollut Euroopassa viljeltyä vuosisatoja ja siitä tuli keskiajalla olennainen osa olutvalmistukseen. Sen käyttö muutti olutvalmistusta parantamalla sen makuja ja auttamalla säilyvyyttä, ja se tuli tärkeäksi viljelykasviksi olutteollisuuden historiassa.",,"Humulus lupulus on pitkään ollut käytössä perinteisessä kasvislääkinnässä. Kukinnot sisältävät luonnollisia yhdisteitä, jotka ovat käytössä teissä ja kasvislääkevalmisteissa, erityisesti niiden miedon rauhoittavien ja nukkumisen edistävien ominaisuuksien vuoksi.",,,,,,,,
Hyoscyamus niger,,Black henbane,hullukaali,Lääkekasvit,,,1,,,,,,,,"Hyoscyamus niger produces pale yellow flowers with distinctive dark purple veins. Their unusual appearance, together with the plant's sticky leaves and strong odour, makes it one of the most recognizable wildflowers in its native range.",,,"Hyoscyamus niger has a long history in European and Middle Eastern cultures. It was used in traditional medicine, religious rituals, and folklore for its mind-altering effects, but its high toxicity also made it one of history's most dangerous medicinal plants.",,"Hyoscyamus niger has been used in medicine since ancient times because it contains compounds that affect the nervous system. Although these substances are valuable in modern medicine when carefully purified and dosed, the plant itself is too poisonous to be used safely as a herbal remedy.",,,,"Hyoscyamus niger, commonly known as black henbane, is a highly poisonous flowering plant native to Europe, North Africa, and western Asia. All parts of the plant contain toxic alkaloids that can cause hallucinations, paralysis, and even death if ingested.",,,,y,,,,,,"Hyoscyamus niger tuottaa vaaleankeltaisia kukkia, joilla on erikoisia tummanviolettejä juovia. Erikoisen ulkonäön yhdistettynä kasvin kuituisiin lehtiin ja voimakkaaseen tuoksuun, se on yksi tunnetuimmista villikukista kasvupaikkoissaan.",,,"Hyoscyamus niger on ollut pitkään Euroopan ja Lähi-idän kulttuurissa. Se on käytetty perinteisessä lääkinnässä, uskonnollisissa rituaaleissa ja kansanperinteessä siitä saadusta mielialamuutoksesta, mutta sen korkea myrkyllisyys teki siitä yhden historian vaarallisimmista lääkekasveista.",,"Hyoscyamus niger on ollut lääkinnässä käytössä jo antiikin ajoilta, koska se sisältää yhdisteitä, jotka vaikuttavat hermostoon. Vaikka nämä aineet ovat arvoisia nykyisessä lääkinnässä, kun niitä on puhdistettu ja annosteltu huolellisesti, kasvi itse on liian myrkyllistä, jotta sitä voitaisiin käyttää turvallisesti kasvislääkkeenä.",,,,"Hyoscyamus niger, jota kutsutaan yleisesti mustaksi hennelle, on erittäin myrkyllinen kukkiva kasvi, joka on kotoisin Euroopasta, Pohjois-Afrikasta ja Lähi-idästä. Kasvin kaikki osat sisältävät myrkyllisiä alkaloideja, jotka voivat aiheuttaa hallusinaatioita, lihasparalysia ja jopa kuolemaa, jos niitä syödään.",,,,
Iris pseudacorus,,yellow iris,keltakurjenmiekka,K-20-1 	VESI,1184,K-20-1 	VESI,1,yes,,,,,,,"Iris pseudacorus produces bright yellow flowers in late spring to early summer. The blooms are large and showy, appearing on tall stems above sword-like leaves and standing out strongly in wetland habitats.",,,,,,,"Iris pseudacorus provides nectar and pollen for insects, especially bees and other wetland-associated pollinators. Its prominent flowers help support biodiversity in marshes and along water edges.","Iris pseudacorus is a very hardy wetland plant that thrives in shallow water, marshes, and damp soils. It spreads easily through rhizomes and can tolerate flooding and variable water conditions.",,,,,y,,,,,,"Iris pseudacorus tuottaa keltaisia kukkia myöhäiskesällä. Kukat ovat suuria ja näyttäviä, ja ne kasvavat pitkillä varpuilla kuten lehdillä ja erottuvat voimakkaasti kosteikoissa.",,,,,,,"Iris pseudacorus tarjoaa nektaria ja pollenin hyönteisille, erityisesti mehiläisille ja muille kosteikkojen yhteydessä eläville hyönteisille. Sen näkyvät kukat auttavat tukevasti biodiversiteetin säilymisessä kosteikoissa ja vesirajapinnoilla.","Iris pseudacorus on hyvin kestävä kosteikkokasvi, joka kasvaa vähävedessä, kosteikoissa ja kosteilla maaperillä. Se leviää helposti rihmastoilla ja kestää tulvia ja vaihtelevia vesitilanteita.",,,,,
Isatis tinctoria,,Woad,värimorsinko,H-12 	VÃ„RIAINEKASVIT,52707,H-12 	VÃ„RIAINEKASVIT,1,,,,"Isatis tinctoria is a traditional dye crop grown for its leaves rather than its yellow flowers. The leaves are harvested, fermented, and processed to extract compounds that turn blue when exposed to air, producing natural indigo dye used in textiles and historical fabric colouring.",,,,"Isatis tinctoria produces tall stems with clusters of small yellow flowers in late spring and early summer. The flowers grow densely along the upper parts of the plant and later develop into flat, winged seed pods.",,,"Isatis tinctoria was Europe's most important source of blue dye for centuries before indigo was introduced from Asia. During the Middle Ages, towns in England, France, and Germany grew wealthy from the woad trade, and vast fields were dedicated to its cultivation. According to Roman accounts, ancient Britons were said to paint or stain their bodies blue before battle using woad, although modern historians debate how common this practice actually was. Its importance declined after cheaper indigo became widely available, but woad remains a symbol of medieval dyeing and European textile history.",,,,"Isatis tinctoria provides nectar and pollen for a variety of bees, hoverflies, butterflies, and other beneficial insects. Its masses of small flowers bloom over an extended period, making it a valuable food source in early summer.",,,,,,y,,"Isatis tinctoria on perinteinen väriviljelykasvi, jota kasvatetaan lehtiensä sijaan keltaisista kukista. Lehtiä kerätään, fermentoidaan ja käsitellään, jotta saadaan aineita, jotka muuttuvat siniseksi ilmassa, ja ne tuottavat luonnonindigoväriä tekstiileille ja historiallisille kangasvärisille.",,,,"Isatis tinctoria tuottaa pitkiä varpuja, joilla on pieniä keltaisia kukkia myöhäiskesällä ja varhaiskesällä. Kukat kasvavat tiiviisti varpujen yläosissa ja myöhemmin kehittyvät tasaisiksi, siipikarvoisiksi siitepölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölypölyp",,,Isatis tinctoria oli Euroopan tärkein sininen väriaine sadan vuoden ajan ennen intian kerman tuloa Aasiasta.,,,,"Isatis tinctoria tarjoaa monille hyönteisille, kuten mehiläisille, lentokärpäsläisille, perhosille ja muille hyötyhyönteisille, nautintaa ja pollen. Sen pienet kukat kukkivat pitkän ajan, tehdäkseen siitä arvokas ravinnonlähde alkukesällä.",,,,,,
Kalanchoe beharensis,,Velvet elephant ear / felt bush,Huopaitulehti,G-HF 	SUKKULENTIT,5086,G-HF 	SUKKULENTIT,1,,x -154.37  y -5.70,,,,,,,,,,,,,,,,,"Kalanchoe beharensis, or velvet elephant ear, is a succulent from Madagascar with large triangular leaves covered in dense, felt-like hairs, giving it a unique sculptural look among houseplants. Its main defence is this velvety coating, which helps reduce water loss in dry conditions and makes the leaves less appealing to herbivores.",,y,,,,,,,,,,,,,,,,,"Kalanchoe beharensis, eli karvainen norsunluun kynsi, on sukkulentti Madagaskarista, jolla on suuria kolmiolehtiä, jotka ovat tiheään karvoituksessa ja antavat sen ainutlaatuisen muodon huonekasveissa. Sen pääpuolustus on tämä karvainen pehmeys, joka auttaa vähentämään veden menetystä kuivissa olosuhteissa ja tekee lehdet vähemmän houkutteleviksi kasvinsyöjille.",,
